"Arm0","Arm1","Arm2","Arm3","Arm4","Arm5"
-98,0,35,48,0,0
42,0,66,-84,0,0
0,0,0,0,0,82
-95,0,-60,0,0,-94
0,0,32,0,16,0
96,15,0,-97,0,0
0,0,0,0,0,0
95,49,0,3,1,0
0,0,-24,52,0,0
93,96,60,0,0,0
0,0,-2,0,0,0
0,0,52,0,30,0
-55,0,4,18,-12,0
0,0,0,-38,-46,0
0,-67,0,0,-18,0
0,41,0,-74,-22,0
58,0,0,-88,0,-41
0,2,0,0,44,-89
-52,0,89,0,47,0
81,0,0,0,0,0
0,2,0,0,0,98
0,-3,14,0,0,0
-82,-31,78,0,0,-74
0,0,-43,0,0,0
0,0,0,51,0,0
0,0,-54,0,0,0
0,0,-46,0,86,-26
23,0,15,34,0,0
-63,0,57,-11,-96,0
0,33,-25,-52,-49,0
-11,0,0,0,0,0
-85,0,0,0,83,-39
-16,-74,0,-83,21,0
0,-78,-38,100,29,0
0,0,-38,-94,-14,0
0,-58,85,0,76,0
0,0,0,0,32,0
0,27,86,0,-86,0
0,45,73,0,0,0
0,0,-9,0,0,0
0,-44,38,0,0,0
0,-48,-91,0,0,0
-40,-91,0,0,0,58
0,0,-54,-93,35,0
-98,0,28,0,0,0
0,65,46,-78,54,0
-5,0,0,0,0,0
96,0,56,43,0,98
0,0,-68,0,0,0
0,0,-9,0,47,0
0,0,-22,0,0,0
0,0,-13,0,-9,-13
0,-26,20,0,0,0
0,0,-95,0,-90,0
0,-65,17,0,-77,0
0,0,20,-54,-61,0
0,-97,64,0,-31,0
46,-55,-68,55,0,0
-94,-59,0,0,0,22
-92,98,-17,0,0,-63
-24,85,-94,0,95,0
0,61,0,0,0,0
-8,0,0,0,-54,0
0,-98,0,0,0,0
0,0,-44,-10,57,-15
18,66,-58,34,0,0
0,0,75,0,36,0
0,-87,7,0,-54,0
41,44,-55,-26,-46,0
0,0,86,-80,61,0
0,0,-77,76,-18,0
-13,0,0,90,72,0
91,0,0,0,-70,0
0,0,10,-70,0,0
93,0,0,46,-87,0
0,0,95,0,45,0
0,0,69,-19,0,0
0,0,0,44,0,0
0,0,7,-97,0,0
0,24,41,75,8,0
-85,59,-2,0,0,-81
0,0,-58,0,-39,0
-44,64,0,0,0,0
-72,-20,-67,0,0,0
0,-48,0,0,10,0
0,-83,83,0,48,0
15,0,-14,0,0,0
-84,19,90,62,0,0
36,-28,63,0,-24,74
0,-16,0,0,-5,0
-60,1,0,-20,-20,0
0,65,59,-86,0,0
-40,0,-60,0,53,0
59,0,0,11,69,0
0,0,28,0,-3,0
0,0,-4,39,0,-55
0,0,38,22,0,0
0,-96,-26,0,0,0
0,-82,-58,0,0,78
-9,0,0,52,0,0
1,0,0,-4,0,0
0,0,0,0,54,5
-27,0,9,-89,0,0
0,-9,-5,0,0,0
0,0,0,0,97,0
35,14,-39,0,0,0
0,66,60,52,88,0
0,-66,-24,0,0,0
0,0,-17,-24,-99,0
0,-21,0,0,95,-93
0,63,0,0,12,0
0,3,-75,0,-47,0
0,0,30,0,-6,0
98,-58,0,57,98,0
0,-12,-29,0,0,0
0,0,-4,67,0,71
-42,0,68,-76,0,0
0,0,0,0,0,-56
-100,0,80,0,0,0
0,0,37,39,0,0
0,0,67,0,0,3
-19,0,-47,0,0,0
0,7,69,-23,19,0
-24,0,0,0,0,0
0,-85,-28,0,0,0
-80,0,-86,-23,27,0
0,95,0,0,0,0
-14,-87,-35,0,-84,0
0,-66,0,0,58,0
0,3,0,54,-32,0
-32,-58,15,0,-24,0
64,0,0,0,-73,0
-74,78,65,0,-54,0
0,-16,-16,0,0,0
0,-83,0,0,0,0
0,17,0,0,51,0
-21,0,-54,0,0,0
24,-89,-30,0,0,0
0,0,73,-53,0,0
-63,0,0,0,7,0
-25,0,0,11,0,70
64,-4,87,93,0,0
4,0,22,0,0,0
-31,0,0,0,0,0
77,0,57,0,-93,99
13,0,-42,0,37,0
44,0,-51,-64,-55,0
0,0,-51,49,49,0
20,0,96,0,0,0
0,0,0,71,90,-55
0,0,0,0,-67,0
-4,0,-55,76,-99,0
93,90,8,-2,0,0
0,-74,63,0,0,0
0,3,54,0,0,0
-85,23,-2,0,0,0
0,89,68,-23,0,0
0,0,0,0,0,0
0,7,0,0,0,0
57,-12,-49,0,0,0
0,-24,54,-88,72,0
0,0,73,0,0,-11
-22,0,-50,18,0,0
-60,0,-49,0,89,0
-89,45,87,0,91,0
87,0,-30,0,19,0
90,0,30,0,0,0
0,0,-61,0,-67,0
